TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG
03-05-2025,"23,8",33,"28,7",81,"54,8","5,8",4,340,1
04-05-2025,25,"33,8","29,5",77,"9,4","6,7",4,90,1
05-05-2025,"25,8","34,8","30,1",74,"0,9",8,5,340,3
06-05-2025,"24,8","32,6","28,6",79,"8,6",8,4,50,2
07-05-2025,"26,2","33,5","28,2",85,0,8,5,330,2
08-05-2025,25,33,"28,2",80,2,"7,9",4,340,1
09-05-2025,26,"32,4","28,2",83,0,"6,3",5,140,2
10-05-2025,25,"33,6","28,7",79,"0,4","6,3",5,350,2
11-05-2025,"24,2","32,8","28,7",79,"16,6",8,4,347,1
12-05-2025,"26,4","31,8",29,82,0,8,4,1,1
13-05-2025,"24,6","32,2","28,2",86,"40,9","5,2",4,310,2
14-05-2025,"25,2","33,4","28,9",77,8888,"4,8",5,10,2
15-05-2025,"25,8","32,8","28,9",77,"0,6",8,4,350,2
16-05-2025,26,33,"29,2",77,"0,6","7,3",5,180,2
17-05-2025,25,"32,2","26,7",91,"5,6","7,3",3,142,2
18-05-2025,"24,8","32,8","28,6",78,"14,8","3,7",5,1,2
19-05-2025,"25,6","32,8","26,5",91,2,8,4,330,1
20-05-2025,"24,2",33,"28,2",78,"28,8","4,1",3,70,2
21-05-2025,25,"34,2","28,5",81,0,"2,6",3,90,2
22-05-2025,"24,6","33,2","28,1",85,"67,6","4,6",3,340,1
23-05-2025,"25,2","30,6","27,6",85,"53,2","2,6",3,20,1
24-05-2025,"25,2",32,"27,9",85,"0,2","1,7",4,60,1
25-05-2025,"25,6","32,6","28,7",85,8888,"4,5",3,340,1
26-05-2025,"24,8","32,6","26,7",92,0,8,2,200,0
27-05-2025,25,"32,6","28,1",83,8,0,4,40,1
28-05-2025,"25,4",34,"28,5",80,0,"6,5",5,180,2
29-05-2025,"26,2","34,6","29,3",79,8888,"7,7",6,130,1
30-05-2025,"25,2",33,"28,5",82,0,"6,3",5,320,1
31-05-2025,"26,2","32,6","28,3",84,0,8,4,340,1
